索引,上衣顏色,上衣花紋,上衣類型,下裝顏色,下裝花紋,下裝種類,高跟鞋顏色,高跟鞋種類,雙手動作,表情,飾品配件,場景,動作,指甲顏色
25,Hot Magenta + Jet Black,Small Heart Pattern,Camisole-Style Satin Top,Hot Magenta + Jet Black,Small Heart Pattern,Front-Slit ,Cream,Leather Strappy Heels,"Left hand resting on thigh, right hand lightly touching knee",,"Gold Bangle Bracelet, Pearl Necklace","Cozy caf? corner with tables and chairs, uniform daylight","Leaning back against a waist-high railing, elbows hooked over the bar, legs stretched out in front as if sliding down slightly, ankles crossed to maintain a neat skirt line.",
26,Bright Turquoise + Pure White,Minimal Star Pattern,Sheer Mesh Sleeveless Top,Bright Turquoise + Pure White,Minimal Star Pattern,Asymmetrical Hem ,Charcoal Gray,Patent Strappy Heels,"Left hand slightly raised, fingers relaxed, right hand behind back",,"Stacked Rings, Velvet Choker, Hair Clip","Cozy caf? terrace, sunlight evenly illuminating chairs and tables","Leaning the hips against the seat of a stationary bicycle, legs extended far forward to support the weight, creating a long diagonal slope with the body, feet together.",
27,Deep Navy Blue + Metallic Gold,Micro Check Pattern,Semi-Sheer Stretch Top,Deep Navy Blue + Metallic Gold,Micro Check Pattern,Wrap-Style  (Tight Fit),Slate Gray,Satin Strappy Heels,"Left hand touching cheek, right hand gently holding wrist",,"Leather Strap Watch, Gold Pendant Necklace, Hoop Earrings, Hair Flower","Cozy living area with sofa and coffee table, sunlight evenly filling space","Lounging in a bay window seat, knees drawn up towards the chest but slightly to the side, arms wrapping around shins, feet resting on the edge, filling the frame compactly.",
28,Chocolate Brown + Cream White,Grid Pattern,Lightweight Chiffon Top,Chocolate Brown + Cream White,Grid Pattern,Layered Panel ,Copper,Metallic Strappy Heels,"Left hand touching chin lightly, right hand on cheek",,"Gemstone Ring, Hair Pin, Drop Earrings, Layered Necklace Set, Clutch Bag","Cozy living room with fireplace, bright natural light from window","Low butterfly squat with soles of feet lightly pressed together, knees outward, back straight, head tilted slightly for aesthetic balance.",
29,Cool Light Gray + Bright Orange,Minimal Plaid,Lightweight Organza Top,Cool Light Gray + Bright Orange,Minimal Plaid,Minimal Pleated  (Tight Pleats),Rose Gold,Smooth Leather High-Heel Sandals,"Left hand touching hair near ear, right hand resting at side",,"Delicate Chain Bracelet, Silk Scarf, Stud Earrings, Hair Ribbon","Cozy reading corner with small bookshelf, uniform natural light","Low crouch on floor with feet flat, knees apart, torso upright, upper body slightly tilted forward for balance, toes pointed outward.",
30,Indigo Purple + Silver Gray,Thin Herringbone,Soft Drape Fabric Top,Indigo Purple + Silver Gray,Thin Herringbone,Seam-Detail ,Mint Green,Patent High-Heel Sandals,,,"Pearl Necklace, Hoop Earrings, Hair Flower, Shoulder Bag",Cozy reading nook with uniform warm lighting and bookshelf,"Low crouch on one knee, other leg extended forward, toes pointed, back straight, head slightly tilted toward camera.",
31,Jet Black + Metallic Silver,Fine Mesh Overlay,Fluid Fabric Sleeveless Top,Jet Black + Metallic Silver,Fine Mesh Overlay,Panel-Seamed ,Orange,Satin High-Heel Sandals,,,"Velvet Choker, Drop Earrings, Hair Clip, Clutch Bag","Cozy study nook with desk and lamp off, bright natural light","Low crouch with both knees bent, heels lightly raised, body tilted slightly forward, skirt flowing naturally, toes pointing outward.",
32,Jet Black + Metallic Gold,Semi-Sheer Mesh Texture,Minimal Cut-Out Fabric Top,Jet Black + Metallic Gold,Semi-Sheer Mesh Texture,Zip-Front ,,Smooth Leather Mule Heels,,,"Stacked Rings, Gold Pendant Necklace, Hair Pin, Hair Ribbon, Crossbody Bag","Garden patio with wooden deck, sunlight evenly hitting the space","Low crouch with one knee forward and the other angled outward, hips dropped close to ground, maintaining visual balance.",
33,Deep Forest Green + Khaki,Subtle Lace Overlay,Side Cut-Out Sleeveless Top,Deep Forest Green + Khaki,Subtle Lace Overlay,Button-Front ,,Patent Mule Heels,,,"Leather Strap Watch, Layered Necklace Set, Stud Earrings, Hair Bow, Shoulder Bag","Minimalist bathroom with glass shower, daylight uniformly bright","Low hover squat with heels lifted and knees wide, hips suspended just above the ground, tension visible in the thighs.",
34,Sky Blue + Pure White,Laser-Cut Pattern,Front Cut-Out Stretch Top,Sky Blue + Pure White,Laser-Cut Pattern,Cut-Out Detail ,,Suede Mule Heels,,,"Gemstone Ring, Velvet Choker, Drop Earrings, Hair Flower, Belt","Minimalist living room with white sofa, evenly illuminated by daylight","Low kneeling pose with legs spread wide apart to fill frame, back straight, torso slightly leaning forward, toes gently pointed outward, skirt draping naturally.",
35,Copper Brown + Off White,Cut-Out Geometric Pattern,Ribbed Knit Crop Top,Copper Brown + Off White,Cut-Out Geometric Pattern,Mesh-Overlay ,,Velvet Mule Heels,,,"Gold Bangle Bracelet, Silver Cuff Bracelet, Pearl Necklace, Stud Earrings, Hair Ribbon","Minimalist office with white walls, evenly lit by large windows","Low lunge with both knees bent at roughly 90 degrees, upper body slightly tilted forward, hips squared, balance perfectly maintained on both feet.",
36,Navy Blue + Cream White,Metallic Accent Pattern,Soft Knit Crop Top,Navy Blue + Cream White,Metallic Accent Pattern,Semi-Sheer Layer ,,Matte Leather Block Heels,,,"Delicate Chain Bracelet, Stacked Rings, Gold Pendant Necklace, Hoop Earrings, Clutch Bag","Minimalist workspace with white desk, sunlight uniformly bright","Low side lunge with one leg bent and other extended sideways, heels grounded, toes pointing outward, torso upright.",
37,Emerald Green + Pure White,Foil Print Detail,Stretch Fabric Crop Top,Emerald Green + Pure White,Foil Print Detail,Ribbed Stretch ,,Suede Block Heels,,,"Leather Strap Watch, Gemstone Ring, Layered Necklace Set, Hair Pin, Shoulder Bag","Modern bathroom with large window, daylight uniformly bright","Low squat on a chair seat with knees apart and heels flat on the floor, hips hovering slightly above the seat.",
38,Burgundy Red + Pure White,Glossy Coated Texture,Layered Sheer Top,Burgundy Red + Pure White,Glossy Coated Texture,Textured Fabric ,,Textured Leather Block Heels,,,"Rose Gold Bracelet, Silk Scarf, Drop Earrings, Hair Flower, Belt","Modern bathroom with white tiles, uniform natural light from window","Low squat on floor with one knee slightly forward, other slightly backward, torso upright, legs symmetrical for leg visibility.",
39,Bright Cyan + Jet Black,Textured Fabric Weave,Mesh Overlay Top,Bright Cyan + Jet Black,Textured Fabric Weave,Crinkle Fabric ,,Smooth Leather Kitten Heels,,,"Stacked Rings, Velvet Choker, Hair Clip, Pearl Necklace, Clutch Bag","Modern dining room with large table, sunlight filling entire room","Low squat on toes with knees wide and heels lifted, hips suspended mid-air, pose held deliberately.",
40,Slate Gray + Pure White,Ribbed Fabric Texture,Textured Fabric Sleeveless Top,Slate Gray + Pure White,Ribbed Fabric Texture,Wrinkle-Texture ,,Patent Kitten Heels,,,"Gold Bangle Bracelet, thin, shiny surface, worn loosely on left wrist, Pearl Necklace, classic white pearls, medium length, worn around neck","Modern dining room with large window, daylight filling the table","Low squat with feet parallel and slightly apart, torso leaning slightly forward, heels flat, knees wide to maximize thigh exposure.",
41,Deep Teal Blue + Pure White,Pleated Texture,Fine Pleated Sleeveless Top,Deep Teal Blue + Pure White,Pleated Texture,Fine Check ,,Suede Kitten Heels,,,"Silver Cuff Bracelet, engraved pattern, polished finish, worn on right wrist, Stud Earrings, small round diamond, worn on both earlobes","Modern kitchen with even daylight, polished surfaces reflecting light","Low squat with heels raised on toes, knees wide, torso slightly leaning forward, legs fully visible to camera.",
42,Emerald Green + Warm Beige,Quilted Micro Pattern,Metallic Finish Fabric Top,Emerald Green + Warm Beige,Quilted Micro Pattern,Minimal Pattern ,,Patent Mary Jane Heels,,,"Delicate Chain Bracelet, rose gold, small charms dangling, worn on left wrist, Hair Ribbon, satin, pale pink, tied in bow on right side","Modern kitchen with island and stools, uniform daylight","Low squat with one knee on floor, the other leg bent upright, torso slightly rotated toward camera, feet maintaining perfect flat contact.",
43,Bright Orange + Jet Black,Wrinkle Texture,Glossy Coated Fabric Top,Bright Orange + Jet Black,Wrinkle Texture,Solid Color ,,Matte Leather Mary Jane Heels,,,"Stacked Rings, multiple thin bands, mixed metals, worn on fingers of right hand, Shoulder Bag, leather, dark brown, small flap with buckle, worn on left shoulder","Modern kitchen with marble countertop, evenly lit by daylight","Lying on the stomach facing forward, elbows on the ground, lower legs kicked up behind in the air, creating a playful low-angle composition.",
44,Silver Gray + Jet Black,Soft Crinkle Fabric,Wrinkle-Texture Fabric Top,Silver Gray + Jet Black,Soft Crinkle Fabric,Two-Tone Panel ,,Velvet Mary Jane Heels,,,"Gemstone Ring, emerald stone in silver setting, worn on left ring finger, Pearl Necklace, classic white pearls, medium length, worn around neck","Modern library with glass roof, daylight uniformly illuminating shelves","One knee on chair seat, other leg stretched forward, foot resting on ground, torso straight, facing camera squarely.",
45,Deep Crimson + Cream White,Embossed Pattern,Crinkle Fabric Sleeveless Top,Deep Crimson + Cream White,Embossed Pattern,Side-Tie ,,Suede Cut-Out Heels,,,"Leather Strap Watch, brown leather band, small gold dial, worn on left wrist, Hoop Earrings, medium size gold hoops, worn on both ears","Modern living room with glass wall, daylight evenly filling interior","One knee resting on a low step while the other leg extends forward, toes pointed, hips lowered to create a sultry asymmetrical leg frame.",
46,Forest Green + Copper Brown,Heat-Pressed Pattern,Laser-Cut Fabric Top,Forest Green + Copper Brown,Heat-Pressed Pattern,Slanted Waist ,,Smooth Leather Cut-Out Heels,,,"Gold Bangle Bracelet, Pearl Necklace, Stud Earrings, Hair Ribbon","Modern living room with white walls and sofa, uniform bright light","One leg bent on chair, other leg stretched diagonally forward, toes pointed, upper body facing camera, balance maintained.",
47,Royal Blue + Silver Gray,Minimal Logo Pattern,Minimal Lace-Overlay Top,Royal Blue + Silver Gray,Minimal Logo Pattern,Sculpted Fit ,,Patent Cut-Out Heels,,,"Stacked Rings, Velvet Choker, Hair Clip, Shoulder Bag","Modern office with white desk and chair, uniform daylight","One-knee-down pose with the other leg extended long toward camera, hips lowered and weight balanced for leg emphasis.",
48,Grass Green + Lemon Yellow,Monogram Print,Soft Transparent Fabric Top,Grass Green + Lemon Yellow,Monogram Print,Ultra-Slim ,,Lucite-Heel Patent Pumps,,,"Leather Strap Watch, Gold Pendant Necklace, Hoop Earrings, Hair Flower, Clutch Bag","Open balcony with city view, soft natural daylight","One-leg-forward crouch with hips lowered and back leg bent, toes pointed outward for balance and leg focus.",
49,Magenta + Pure White,Typographic Print,Micro-Pattern Sleeveless Top,Magenta + Pure White,Typographic Print,,,Lucite-Heel Ankle-Strap Heels,,,"Gemstone Ring, Hair Pin, Drop Earrings, Layered Necklace Set, Crossbody Bag","Open garden patio with lounge chairs, light evenly filling the area","Perched high on the armrest of a leather sofa, legs draped down the side of the furniture, ankles crossed, body upright to fill the vertical space while legs create a diagonal line.",
50,Navy Blue + Jet Black,Graphic Symbol Pattern,Minimal Graphic Print Top,Navy Blue + Jet Black,Graphic Symbol Pattern,,,Sculpted Metal-Heel Pumps,,,"Delicate Chain Bracelet, Silk Scarf, Stud Earrings, Hair Ribbon, Belt","Open living space with sofa and coffee table, bright uniform light","Perched on a high edge, legs dangling straight down with ankles locked tightly in a cross, toes pointing straight down to elongate the silhouette.",
51,Turquoise + Bright Orange,Abstract Brush Stroke,,Turquoise + Bright Orange,Abstract Brush Stroke,,,Sculpted Heel Strappy Sandals,,,"Pearl Necklace, Hoop Earrings, Hair Flower, Shoulder Bag, Gold Bangle Bracelet","Open terrace with potted plants, uniform bright daylight","Perched on the edge of a tall bar stool, one leg hooked casually on the rung while the other leg stretches straight down towards the floor, toes pointed to maximize length, knees angled slightly inward.",
52,Indigo Purple + Cream White,Soft Smoke Pattern,,Indigo Purple + Cream White,Soft Smoke Pattern,,,Metallic Leather Stiletto Heels,,,"Velvet Choker, Drop Earrings, Hair Clip, Clutch Bag, Stacked Rings","Open-air caf? with tables and umbrellas, sunlight evenly distributed","Pose on hands and knees facing directly forward, shoulders and hips square to the camera, creating a low and wide horizontal block.",
53,Emerald Green + Cream White,Gradient Dot Pattern,,Emerald Green + Cream White,Gradient Dot Pattern,,,Croc-Embossed Leather Heels,,,"Stacked Rings, Gold Pendant Necklace, Hair Pin, Hair Ribbon, Crossbody Bag","Open-plan living room with dining table, bright natural light","Proper formal kneeling sitting on heels, knees aligned forward, shins flat against the floor, creating a polite and triangular silhouette.",
54,Burgundy Red + Charcoal Gray,Pixel Gradient Pattern,,Burgundy Red + Charcoal Gray,Pixel Gradient Pattern,,,Pebbled Leather Heels,,,"Leather Strap Watch, Layered Necklace Set, Stud Earrings, Hair Bow, Shoulder Bag","Open-plan living room with sofa and coffee table, evenly lit by daylight","Resting on a low concrete barrier, leaning forward slightly with elbows on thighs, legs spread shoulder-width but knees knocked inward (pigeon-toed style) to keep the skirt secure while showing full leg length.",
55,Sky Blue + Lemon Yellow,Minimal Camouflage,,Sky Blue + Lemon Yellow,Minimal Camouflage,,,Mesh-Overlay High Heels,,,"Gemstone Ring, Velvet Choker, Drop Earrings, Hair Flower, Belt","Open-plan office with desks, bright natural light","Rough street-style deep squat with legs spread extremely wide to the edges of the frame, feet planted flat and heavy, torso leaning slightly forward between the knees.",
56,Forest Green + Silver Gray,Digital Camo,,Forest Green + Silver Gray,Digital Camo,,,Lace-Overlay Heels,,,"Gold Bangle Bracelet, Silver Cuff Bracelet, Pearl Necklace, Stud Earrings, Hair Ribbon","Serene bedroom with white walls, large windows letting in even sunlight","Seated cross-legged on floor, upper body tall, back straight, knees spread wide enough to fill frame, feet flexed naturally outward.",
57,Royal Blue + Cream White,Modern Zebra Pattern,,Royal Blue + Cream White,Modern Zebra Pattern,,,Fabric-Wrapped Heel Pumps,,,"Delicate Chain Bracelet, Stacked Rings, Gold Pendant Necklace, Hoop Earrings, Clutch Bag","Spacious art studio with paint supplies, sunlight evenly spread","Seated on a chair with one leg crossed over the other, upper body slightly tilted forward, heels on floor, legs elegantly angled to camera.",
58,Bright Primary Red + Jet Black,Modern Leopard Print,,Bright Primary Red + Jet Black,Modern Leopard Print,,,,,,"Leather Strap Watch, Gemstone Ring, Layered Necklace Set, Hair Pin, Shoulder Bag","Spacious bedroom with canopy bed, sunlight uniformly bright","Seated on a white cube prop, legs bent at the knees and spread slightly apart but knees kept close enough for modesty, feet planted wide to create a stable triangular composition within the square frame.",
59,Turquoise + Silver Gray,Abstract Animal Print,,Turquoise + Silver Gray,Abstract Animal Print,,,,,,"Rose Gold Bracelet, Silk Scarf, Drop Earrings, Hair Flower, Belt","Spacious bedroom with large window, soft daylight evenly filling room","Seated on chair backward (backrest in front), knees bent over seat, heels touching floor, torso leaning slightly forward.",
60,Navy Blue + Warm Beige,Brush-Style Stripe Pattern,,Navy Blue + Warm Beige,Brush-Style Stripe Pattern,,,,,,"Stacked Rings, Velvet Choker, Hair Clip, Pearl Necklace, Clutch Bag","Spacious bedroom with open curtains, sunlight uniformly bright","Seated on heels with knees slightly apart, upper body elongated, skirt draping naturally, toes tucked under and pointing outward for cuteness.",
61,Emerald Green + Charcoal Gray,Ink Splash Pattern,,Emerald Green + Charcoal Gray,Ink Splash Pattern,,,,,,"Gold Bangle Bracelet, Leather Strap Watch, Stud Earrings, Hair Ribbon, Shoulder Bag","Spacious living room with floor-to-ceiling windows, bright ambient light","Seated on stairs with knees open and feet resting on different steps, hips centered, creating layered leg depth.",
62,Bright Orange + Cream White,Marble Vein Pattern,,Bright Orange + Cream White,Marble Vein Pattern,,,,,,"Gemstone Ring, Layered Necklace Set, Hoop Earrings, Hair Pin, Crossbody Bag","Spacious loft with high ceiling, bright daylight filling space","Seated on step with legs crossed at ankles, feet flexed, torso straight, head facing camera.",
63,Indigo Purple + Metallic Gold,Soft Cloud Pattern,,Indigo Purple + Metallic Gold,Soft Cloud Pattern,,,,,,"Delicate Chain Bracelet, Velvet Choker, Hair Flower, Pearl Necklace, Belt","Spacious loft with sofa and bookshelf, sunlight evenly illuminating space","Seated on stool, knees together but angled slightly to one side, heels touching floor, toes pointed, torso upright.",
64,Sky Blue + Silver Gray,,,Sky Blue + Silver Gray,,,,,,,"Stacked Rings, Gold Pendant Necklace, Drop Earrings, Hair Clip, Clutch Bag","Spacious nursery with crib, soft daylight filling the room","Seated pose on a stair corner with one leg bent and the other stretched forward, hips angled deliberately to frame thighs.",
